11:07:26.891 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@4ae2c01b
11:07:26.898 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:07:26.899 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:07:26.899 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 5761
11:07:28.219 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@5de335cf
11:07:28.219 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:07:28.219 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:07:28.219 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 8973
11:07:29.472 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@46fa2a7e
11:07:29.473 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:07:29.474 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:07:29.474 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 4924
11:07:30.541 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@1c0680b0
11:07:30.541 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:07:30.541 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:07:30.546 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 1125
11:07:31.900 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@23d060c2
11:07:31.900 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:07:31.900 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:07:31.900 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 2933
11:07:33.039 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@e18d2a2
11:07:33.039 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:07:33.039 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:07:33.039 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 9745
11:07:34.199 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@665ed71a
11:07:34.199 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:07:34.199 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:07:34.199 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 3860
11:07:35.289 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@61becbcf
11:07:35.289 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:07:35.289 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:07:35.289 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 4425
11:07:36.629 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@54970127
11:07:36.630 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:07:36.630 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:07:36.630 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 2957
11:07:38.046 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@3a4cb483
